"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4234416883","linkedin","https://www.linkedin.com/jobs/view/4234416883","","Writer (Mindset, Personal Development, Psychology)","Playbook","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/playbooktechnologies","","","","","","","","","","","",""
"li-4232821399","linkedin","https://www.linkedin.com/jobs/view/4232821399","","User Experience Writer","Partner's Consulting, Inc.","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/partner's-consulting-inc-","","","","","","","","","","","",""
"li-4234428000","linkedin","https://www.linkedin.com/jobs/view/4234428000","","Graphic Designer & Video Editor (Instagram)","Playbook","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/playbooktechnologies","","","","","","","","","","","",""
"li-4232587803","linkedin","https://www.linkedin.com/jobs/view/4232587803","","Marketing Associates - Freelance","Creative Circle","Parsippany, NJ","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/creative-circle","","","","","","","","","","","",""
"li-4231753067","linkedin","https://www.linkedin.com/jobs/view/4231753067","","ServiceNow Business Analyst (Integrations)","STAND 8 Technology Consulting","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/stand8","","","","","","","","","","","",""
